Nº_EMPLEADO;NOMBRE;ANYO_EXP;NIF;SUELDO;Nº_EMP_JEFE;FECHA
cud00;Sandra Boyle;6;71829774S;2614.54;cud34;1995-09-28
cud01;Jane Torros;10;68316480V;2765.82;rst38;2016-06-17
cud02;Gloria Gabriel;0;68831069G;1179.89;enc02;2013-03-10
cud03;Damien Carter;9;31921020X;1784.11;mnt02;2009-02-07
cud04;Brian Dimas;13;55782375S;2247.5;rst38;2013-07-28
cud05;Linda Kittinger;4;27595927K;850.63;cud24;1996-12-07
cud06;Howard King;1;58436482Z;2735.65;mnt15;2013-09-07
cud07;William King;13;43945307N;1733.09;rst16;2006-10-06
cud08;Mattie Harris;15;84901475B;2908.69;rst11;2011-12-21
cud09;Matthew Lay;1;56849834K;860.28;mnt01;2000-07-29
cud10;Patricia Martinez;6;98692375L;2628.19;cud19;2015-07-20
cud11;William Bishop;7;44268595N;1556.88;rst09;2018-05-03
cud12;Gerald Taylor;15;63096705T;837.68;enc29;2005-01-12
cud13;Martin Evey;1;69384791R;2358.66;enc25;1991-03-03
cud14;Mark Fritsch;13;57481628M;2468.97;cud07;2010-09-01
cud15;Vanessa Krikorian;5;68384392X;1510.41;rst39;1992-01-01
cud16;Gail Johnson;14;88029020Q;2986.1;rst10;2010-05-07
cud17;Jeff Collica;4;75311351J;2356.6;rst02;2006-05-26
cud18;Carlos Meeks;5;51912684M;817.26;rst18;2008-11-05
cud19;John Washington;0;76957469K;1718.84;cud32;1996-10-25
cud20;Stephen Mena;10;26258256F;1611.98;rst07;2015-12-08
cud21;Derek Hanley;9;58501515A;1270.58;enc21;1997-05-28
cud22;Anita Curlee;4;79760376X;2801.35;mnt09;2005-03-07
cud23;Dorothy Bonner;3;42501320B;2852.16;mnt15;2003-06-22
cud24;Andrew Stpierre;10;20550817H;1375.59;seg05;2002-01-27
cud25;Mike Infante;9;28989950Z;1888.49;seg19;2001-06-05
cud26;Phillip Johnson;12;56480354J;857.14;mrg18;2015-10-17
cud27;Theresa Maurer;1;28103295D;1508.88;enc14;1999-02-08
cud28;Vivian Andrew;3;23171451D;2618.15;cud18;2018-11-15
cud29;Robert Edgehill;3;12384161H;2636.53;seg24;2018-07-02
cud30;James Erwin;13;92307357P;2243.26;cud26;2013-08-29
