Nº_EMPLEADO;NOMBRE;ANYO_EXP;NIF;SUELDO;Nº_EMP_JEFE;FECHA
enc00;James Gabbard;13;24606045R;1409.37;seg08;2013-05-19
enc01;Betty Shirk;15;12690069A;1885.98;rst33;2003-09-28
enc02;Gary Hutcherson;6;77487045E;2656.12;enc10;2005-04-09
enc03;Mary Peters;4;78829609F;2686.04;seg07;2006-01-24
enc04;Henrietta Cohen;1;46038396D;2748.73;ger07;1990-01-01
enc05;Ashly Zahner;6;30896702C;2859.78;mnt02;1991-04-18
enc06;Harold Visser;6;48412002S;2786.39;rst23;2002-07-31
enc07;Damaris Frost;1;64018758Y;1303.25;rst15;2015-06-05
enc08;Nelson Martin;7;14670424N;1794.37;cud34;2018-03-31
enc09;Briana Santiago;6;83386409R;1946.07;enc39;2010-04-01
enc10;Steven Riccio;4;56963376N;1526.42;rst14;2008-08-05
enc11;Gregory Ly;5;98567251S;2887.93;mnt08;1996-08-15
enc12;Richard Baylor;0;76830041J;1746.85;seg02;1992-10-12
enc13;Benjamin Raymer;10;35986303C;1584.05;rst16;2012-11-28
enc14;Patrick White;11;21830074S;957.57;ger02;1999-05-17
enc15;Kathleen Rangel;12;93238741F;1035.22;cud32;2015-01-07
enc16;Karen Babbitt;0;96367068N;1744.16;mnt15;1996-05-23
enc17;Elsie Stern;10;80784749D;1124.65;enc21;2012-07-16
enc18;Gordon Price;2;70646085K;1122.69;ger14;2009-07-18
enc19;Barbara Saenz;15;26538932Z;2452.19;enc04;2003-07-22
enc20;Joshua Williamson;15;88739770C;1800;seg14;1998-11-20
enc21;Walter Harris;0;96513683W;2325.13;cud32;2002-06-10
enc22;Chasity Gibson;10;26826694T;2609.17;seg13;2009-10-01
enc23;Holly Mitchum;6;67530275K;1057.54;rst33;1993-06-07
enc24;Melinda Montgomery;11;11129718H;2025.33;rst07;1998-11-10
enc25;Harry Hunt;11;15151951B;1453.55;rst16;2008-05-02
enc26;Maureen Turk;2;60751823Z;895.43;cud00;1990-08-06
enc27;Cindy Andersen;2;20146103N;1087.65;enc08;2004-06-01
enc28;Curtis Ortiz;11;70596969X;2047.22;cud20;2017-10-14
enc29;Timothy Dennis;11;78681222Q;2206.33;enc01;2015-01-12
enc30;Liana Hayes;7;85523994N;2117.56;rst10;2004-10-30
enc31;Carlton Colombo;0;89975310T;888.26;cud07;1995-12-29
enc32;Robin Sydnor;3;54034755G;897.71;seg13;2011-09-12
enc33;Roger Huntley;0;74692022M;2004.2;mnt01;2017-07-07
enc34;Juan Hillard;1;66311437E;2774.87;enc04;2012-08-17
enc35;Joesph Bradish;10;24772279Z;2625.18;mnt06;2018-08-05
enc36;Margaret Estes;6;80134687L;2897.09;cud34;2017-06-27
enc37;Kenneth Raggio;8;26749435K;927.87;ger12;1994-05-07
enc38;Thelma Juariqui;0;88732856Y;884.37;ger12;1990-04-04
enc39;Thomas Rocha;5;73181782Z;1105.13;seg05;2009-05-16
